code_prefix,name,id,parent_id:id
519,Financial Institutions,azkatech_gaccount_lb_181,azkatech_gaccount_lb_40
531,Cash On Hand,azkatech_gaccount_lb_182,azkatech_gaccount_lb_41
601,Purchases ,azkatech_gaccount_lb_183,azkatech_gaccount_lb_44
605,Variation of Inventory,azkatech_gaccount_lb_184,azkatech_gaccount_lb_44
611,Raw Materials and Consumables purchases,azkatech_gaccount_lb_185,azkatech_gaccount_lb_45
615,Variation of Raw Materials & Consumable Inventory,azkatech_gaccount_lb_186,azkatech_gaccount_lb_45
621,Costs Related to Sub Contracts,azkatech_gaccount_lb_187,azkatech_gaccount_lb_46
625,Leasing & Patents Cost,azkatech_gaccount_lb_188,azkatech_gaccount_lb_46
626,External Services,azkatech_gaccount_lb_189,azkatech_gaccount_lb_46
631,Salaries & Wages,azkatech_gaccount_lb_190,azkatech_gaccount_lb_47
635,Social Security,azkatech_gaccount_lb_191,azkatech_gaccount_lb_47
641,Income Tax on Salaries & Remunerations,azkatech_gaccount_lb_192,azkatech_gaccount_lb_48
642,Municipal Tax,azkatech_gaccount_lb_193,azkatech_gaccount_lb_48
643,Value Added tax,azkatech_gaccount_lb_194,azkatech_gaccount_lb_48
644,Registration Fees,azkatech_gaccount_lb_195,azkatech_gaccount_lb_48
645,Other Taxes,azkatech_gaccount_lb_196,azkatech_gaccount_lb_48
646,Personnel Meals,azkatech_gaccount_lb_197,azkatech_gaccount_lb_48
651,Depreciation & Amortization,azkatech_gaccount_lb_198,azkatech_gaccount_lb_49
655,Provisions,azkatech_gaccount_lb_199,azkatech_gaccount_lb_49
661,Other Operating Charges,azkatech_gaccount_lb_200,azkatech_gaccount_lb_50
665,Loss On Joint Venture,azkatech_gaccount_lb_201,azkatech_gaccount_lb_50
673,Interest,azkatech_gaccount_lb_202,azkatech_gaccount_lb_51
674,Bank Benefits,azkatech_gaccount_lb_203,azkatech_gaccount_lb_51
675,Negative Exchange Differences,azkatech_gaccount_lb_204,azkatech_gaccount_lb_51
676,Net Charges on disposal of securities placements,azkatech_gaccount_lb_205,azkatech_gaccount_lb_51
679,Amostization & Provisions on Financial Charges,azkatech_gaccount_lb_206,azkatech_gaccount_lb_51
681,Net book value of fixed assets disposed of,azkatech_gaccount_lb_207,azkatech_gaccount_lb_52
685,Other Charges -Non Operating,azkatech_gaccount_lb_208,azkatech_gaccount_lb_52
689,Depreciation & Provisions Non-Operating,azkatech_gaccount_lb_209,azkatech_gaccount_lb_52
690,Income Tax On Profits,azkatech_gaccount_lb_210,azkatech_gaccount_lb_53
701,Invoices,azkatech_gaccount_lb_211,azkatech_gaccount_lb_54
709,Discount & Allowances Allowed,azkatech_gaccount_lb_212,azkatech_gaccount_lb_54
711,Sales of Production,azkatech_gaccount_lb_213,azkatech_gaccount_lb_55
712,Works,azkatech_gaccount_lb_214,azkatech_gaccount_lb_55
713,Services,azkatech_gaccount_lb_215,azkatech_gaccount_lb_55
717,Proceeds from Ancillary Activities,azkatech_gaccount_lb_216,azkatech_gaccount_lb_55
719,Discount & Allowances Allowed,azkatech_gaccount_lb_217,azkatech_gaccount_lb_55
721,Works in Progress (variation ),azkatech_gaccount_lb_218,azkatech_gaccount_lb_56
722,Studies & Services in Progress (variation),azkatech_gaccount_lb_219,azkatech_gaccount_lb_56
725,Produced items (variations),azkatech_gaccount_lb_220,azkatech_gaccount_lb_56
731,Intangible fixed Assets,azkatech_gaccount_lb_221,azkatech_gaccount_lb_57
732,Tangible fixed Assets  ,azkatech_gaccount_lb_222,azkatech_gaccount_lb_57
741,Related to products,azkatech_gaccount_lb_223,azkatech_gaccount_lb_58
743,Related to production,azkatech_gaccount_lb_224,azkatech_gaccount_lb_58
752,Write-back of provisions for dimunition in value of fixed assets,azkatech_gaccount_lb_225,azkatech_gaccount_lb_59
753,Write-back of provisions for dimunition in value of current assets,azkatech_gaccount_lb_226,azkatech_gaccount_lb_59
761,Ordinary Incomes,azkatech_gaccount_lb_227,azkatech_gaccount_lb_60
765,Joint Venture Income,azkatech_gaccount_lb_228,azkatech_gaccount_lb_60
771,Revenues of Equity participations,azkatech_gaccount_lb_229,azkatech_gaccount_lb_61
772,Revenue from Other Assets,azkatech_gaccount_lb_230,azkatech_gaccount_lb_61
773,Interest & similar Revenues,azkatech_gaccount_lb_231,azkatech_gaccount_lb_61
775,Foreign Currencies positive Difference,azkatech_gaccount_lb_232,azkatech_gaccount_lb_61
778,Other Financial Income,azkatech_gaccount_lb_233,azkatech_gaccount_lb_61
779,Write-Back of financial provisions,azkatech_gaccount_lb_234,azkatech_gaccount_lb_61
781,Revenues from fixed Assets Disposals,azkatech_gaccount_lb_235,azkatech_gaccount_lb_62
782,Investment subsidies transferred to Profit & Loss,azkatech_gaccount_lb_236,azkatech_gaccount_lb_62
788,Misc Income Non Operating,azkatech_gaccount_lb_237,azkatech_gaccount_lb_62
789,Write-back of Non operating provisions,azkatech_gaccount_lb_238,azkatech_gaccount_lb_62
